date,doc_id,sentence_id,original_sentence
Unknown Date,080401_대우증권_1.txt,1,미국에서는 여전히 연준은 물론 정부와 의회 역시 신용경색 해소를 위해 다방면의 노력을 하고 있다.
Unknown Date,080401_대우증권_1.txt,2,하지만 그것은 미 금융시스템의 붕괴는 모면케 해 줄 수 있을지언정 순환적 경기침체까지 피해가게 만들 수는 없을 것 같다.
Unknown Date,080401_대우증권_1.txt,3,금융시장의 유동성이 보강되는 가운데에서도 실물경기는 침체로 가는 상황 이라면 이는 국내 금리에도 하락 여건일 수 있다고 본다.
Unknown Date,080401_대우증권_1.txt,4,이미 정책이 진행중인 미국과 달리 국내에서는 향후 정책의 방향성을 놓고 당국간 입장차가 확연히 드러나고 있는 상황이다.
Unknown Date,080401_대우증권_1.txt,5,4월 금통위에서도 그다지 금리 우호적 발언이 나오지 않을 리스크를 경계하 고 있는데 하지만 시장 충격이 그다지 크지는 않을 것으로 보고 있다.
Unknown Date,080401_대우증권_1.txt,6,종국적으로 관건은 객관적 환 경이 누구에게 유리하게 전개되느냐에 있을 것이기 때문이다.
Unknown Date,080401_대우증권_1.txt,7,물론 우리는 여전히 시간은 점차 한은 편이 아닐 가능성이 우세하다고 보고 있다.
Unknown Date,080414_대우증권_1.txt,1,4월 금통위는 정부-한은간 policy mix 합의의 반영일 수도 예상대로 올해 한국 경제성장률에 대한 하향 조정들이 속속 이어지고 있다.
Unknown Date,080414_대우증권_1.txt,2,가령 IMF의 경우에는 우리의 추산과 비슷하게 올해 성장률을 42%로 떨어뜨렸다.
Unknown Date,080414_대우증권_1.txt,3,특히 주목할 만한 것은 민간소비 증가율을 작년의 45%에서 크게 낮아진 30%로 예상 했다는 점이다.
Unknown Date,080414_대우증권_1.txt,4,이러한 가운데 4월 금통위는 시장 예상을 뛰어넘는 비둘기적 성향을 나타냈다.
Unknown Date,080414_대우증권_1.txt,5,우리는 조심스럽게 한은과 정부간 정책 공조가 진행 중일 수 있다고 추정한다.
Unknown Date,080414_대우증권_1.txt,6,그러한 공조의 큰 틀은 ‘주어진 외생환경은 인정하되 국내 내수경기를 활성화하기 위한 정책적 선택에 보다 집중하는’ 방향일 수 있다.
Unknown Date,080414_대우증권_1.txt,7,물론 그것의 구체적 액션은 환율의 글로 벌 여건에 따른 하락은 묵시적으로 용인하되 내수 부양을 위한 통 화정책 완화는 필요하다는 것일 게다.
Unknown Date,080421_대우증권_1.txt,1,경기 전망은 비교적 분명… 인플레 명분이 시점 결정할 것 현 금리 레벨이 5월 인하 가능성을 일정부분 선반영하고 있음을 부인하기는 어려울 것 같다.
Unknown Date,080421_대우증권_1.txt,2,따라서 만일 5월 인하 불발 가능성이 높아진다면 지난 주의 조정 양상이 조금 더 이어질 수도 있을 것이다.
Unknown Date,080421_대우증권_1.txt,3,그러나 인하 자체에 대한 믿음에는 흔들림이 없다면 결과적으로 조정은 기회로 여겨야 할 것이다.
Unknown Date,080421_대우증권_1.txt,4,우리는 아직 흔들림이 없는데 최근 신용경색이 다소 완화되는 가운데 일각에 서 미 경기 바닥론이 대두되어도 마찬가지다.
Unknown Date,080421_대우증권_1.txt,5,적어도 경기측면에서는 한국의 통화정책은 이미 비교적 분명한 방향성을 잡은 것으로 보이기 때문이다.
Unknown Date,080421_대우증권_1.txt,6,다만 원자재 등 Cost-Push 형 인플레 압력의 지속이 인하의 시점에는 영향을 줄 가능 성이 없지 않다고 생각한다.
Unknown Date,080421_대우증권_1.txt,7,이와 관련 4월말 FOMC를 계기로 원자재 시장이 조정을 받 는지 여부가 5월 인하 여부에 있어 최대 변수라 판단한다.
Unknown Date,080428_대우증권_1.txt,1,FOMC 이후 원자재 가격 상승세 둔화 여부에 관심 대내외 요인이 금리에 상반된 영향을 미치는 형국처럼 보인다.
Unknown Date,080428_대우증권_1.txt,2,내수경기 둔화가 확인되 기 시작한 반면 글로벌 신용경색이 최악을 지났다는 안도감이 확산되고 있다.
Unknown Date,080428_대우증권_1.txt,3,그리고 대내외를 막론하고 인플레 부담은 여전하다.
Unknown Date,080428_대우증권_1.txt,4,우리가 보기에 글로벌 안도감의 확산 자체는 큰 의미를 갖지 못한다.
Unknown Date,080428_대우증권_1.txt,5,안도감은 그 속성 상 단기적/일회적인 것이며 이미 최근의 위험자산 반등에 반영되어 있다고 판단되기 때 문이다.
Unknown Date,080428_대우증권_1.txt,6,만일 최근의 주가 반등세가 향후 경기회복의 전조라면 얘기는 다르겠으나 경기 싸이클상 그 가능성은 현재로서는 다분히 먼 스토리인 듯 하다.
Unknown Date,080428_대우증권_1.txt,7,따라서 당분간은 금리 반등은 여전히 매수 기회라고 판단하며 향후 충분히 예상되는 정책금리 인하 가능성을 고려하면 더욱 그러하다.
Unknown Date,080428_대우증권_1.txt,8,다만 중장기적 관점에서 유의할 점은 부정적 경기전망은 그 자체로서 금리 하락 요인일 뿐 아니라 정책적 대응을 이끌어낼 수 있다는 점에서 의미가 매우 크지만 이미 시장에 선반영되어 가는 가운데 정책 대응이 실제로 현실화되어 버리면 그 동안의 재료로서의 가치가 점차 희석될 수도 있다는 사실이다.
Unknown Date,080504_대우증권_1.txt,1,시장이 5월 인하를 기대하며 기회를 만들어 왔으나 의외의 복병 아닌 복병이 생기고 있다.
Unknown Date,080504_대우증권_1.txt,2,그 중 하 나인 미국의 경기바닥 통과론은 사실 별달리 위협적이지 않다.
Unknown Date,080504_대우증권_1.txt,3,적어도 상당기간 가령 한분기 이상은 말이다.
Unknown Date,080504_대우증권_1.txt,4,문제는 참으로 질긴 인플레 부담이다.
Unknown Date,080504_대우증권_1.txt,5,현실적으로 4월 물가 상승률이 상당히 자극적인 부담요인일 수 있다.
Unknown Date,080504_대우증권_1.txt,6,이것을 어떻게 극복해 내는가가 시장과 일부 금통위원들의 숙제일 것이다.
Unknown Date,080504_대우증권_1.txt,7,수요견인 인플레 압력에 대해서는 비교적 낙관한다 해도 비용충격 측면은 사실 누구도 장담키 어려운 측면이 있다.
