date,market_rate
20080102,4.96
20080103,4.98
20080104,4.98
20080107,4.95
20080108,4.98
20080109,4.99
20080110,5.01
20080111,5.0
20080114,5.01
20080115,5.01
20080116,5.02
20080117,5.02
20080118,4.97
20080121,4.93
20080122,4.91
20080123,5.01
20080124,5.01
20080125,5.01
20080128,5.01
20080129,5.0
20080130,4.98
20080131,4.96
20080201,4.91
20080204,4.96
20080205,4.93
20080211,5.0
20080212,5.0
20080213,5.0
20080214,5.0
20080215,5.0
20080218,4.98
20080219,4.95
20080220,4.95
20080221,5.02
20080222,5.01
20080225,4.98
20080226,4.95
20080227,4.94
20080228,4.96
20080229,4.94
20080303,4.94
20080304,4.95
20080305,4.94
20080306,5.0
20080307,5.0
20080310,4.99
20080311,4.99
20080312,4.98
20080313,4.98
20080314,4.98
20080317,4.96
20080318,4.99
20080319,4.94
20080320,4.98
20080321,4.98
20080324,4.97
20080325,4.97
20080326,4.94
20080327,4.94
20080328,4.96
20080331,4.98
20080401,4.97
20080402,5.0
20080403,5.01
20080404,5.1
20080407,5.04
20080408,5.03
20080410,4.98
20080411,5.0
20080414,5.0
20080415,5.0
20080416,5.0
20080417,5.0
20080418,5.0
20080421,4.97
20080422,4.98
20080423,4.98
20080424,5.0
20080425,4.96
20080428,4.89
20080429,4.94
20080430,4.95
20080502,4.96
20080506,5.19
20080507,5.18
20080508,5.01
20080509,5.0
20080513,4.93
20080514,4.87
20080515,4.9
20080516,4.95
20080519,4.93
20080520,4.63
20080521,4.62
20080522,5.0
20080523,5.0
20080526,5.0
20080527,5.01
20080528,5.03
20080529,5.03
20080530,5.04
20080602,5.0
20080603,5.0
20080604,5.0
20080605,5.0
20080609,4.81
20080610,4.57
20080611,4.57
20080612,4.99
20080613,4.99
20080616,5.01
20080617,5.0
20080618,5.0
20080619,5.0
20080620,5.01
20080623,4.62
20080624,4.55
20080625,4.55
20080626,5.01
20080627,4.99
20080630,5.01
20080701,4.99
20080702,4.99
20080703,4.99
20080704,5.03
20080707,5.01
20080708,5.01
20080709,5.02
20080710,5.01
20080711,5.01
20080714,5.0
20080715,5.01
20080716,5.0
20080717,5.01
20080718,5.01
20080721,4.58
20080722,4.57
20080723,4.59
20080724,5.0
20080725,5.0
20080728,5.01
20080729,5.0
20080730,5.0
20080731,5.03
20080801,5.02
20080804,5.02
20080805,5.02
20080806,5.01
20080807,5.24
20080808,5.24
20080811,5.24
20080812,5.25
20080813,5.25
20080814,5.25
20080818,5.24
20080819,5.22
20080820,5.23
20080821,5.25
20080822,5.25
20080825,5.24
20080826,5.24
20080827,5.24
20080828,5.24
20080829,5.25
20080901,5.25
20080902,5.24
20080903,5.25
20080904,5.25
20080905,5.24
20080908,5.25
20080909,5.28
20080910,5.22
20080911,5.25
20080912,5.25
20080916,5.23
20080917,5.24
20080918,5.12
20080919,5.07
20080922,4.95
20080923,4.8
20080924,4.86
20080925,5.23
20080926,5.23
20080929,5.22
20080930,5.22
20081001,5.22
20081002,5.22
20081006,5.23
20081007,5.06
20081008,5.12
20081009,4.98
20081010,4.98
20081013,4.98
20081014,4.98
20081015,4.99
20081016,4.99
20081017,4.99
20081020,4.97
20081021,4.89
20081022,4.89
20081023,4.98
20081024,4.98
20081027,4.28
20081028,4.24
20081029,4.24
20081030,4.21
20081031,4.14
20081103,4.1
20081104,4.02
20081105,4.04
20081106,4.22
20081107,3.97
20081110,3.97
20081111,3.98
20081112,3.98
20081113,3.98
20081114,3.98
20081117,3.93
20081118,3.95
20081119,3.95
20081120,3.99
20081121,3.98
20081124,3.99
20081125,3.98
20081126,3.98
20081127,3.98
20081128,3.99
20081201,3.97
20081202,3.97
20081203,3.97
20081204,3.91
20081205,3.85
20081208,3.71
20081209,3.61
20081210,3.62
20081211,3.16
20081212,2.9
20081215,2.83
20081216,2.78
20081217,2.81
20081218,2.81
20081219,2.82
20081222,2.7
20081223,2.57
20081224,2.66
20081226,2.99
20081229,2.97
20081230,2.94
20081231,3.02
20090102,2.87
20090105,2.75
20090106,2.59
20090107,2.58
20090108,2.98
20090109,2.49
20090112,2.42
20090113,2.26
20090114,2.22
20090115,2.04
20090116,2.02
20090119,1.99
20090120,2.0
20090121,2.1
20090122,2.51
20090123,2.44
20090128,2.47
20090129,2.45
20090130,2.41
20090202,2.38
20090203,2.38
20090204,2.38
20090205,2.39
20090206,2.39
20090209,2.2
20090210,2.07
20090211,2.06
20090212,2.02
20090213,1.92
20090216,1.69
20090217,1.76
20090218,1.75
20090219,1.79
20090220,1.82
20090223,1.76
20090224,1.55
20090225,1.58
20090226,1.88
20090227,1.87
20090302,1.75
20090303,1.75
20090304,1.76
20090305,1.75
20090306,1.76
20090309,1.7
20090310,1.63
20090311,1.64
20090312,1.78
20090313,1.82
20090316,1.82
20090317,1.94
20090318,1.87
20090319,1.79
20090320,1.81
20090323,1.74
20090324,1.63
20090325,1.56
20090326,1.89
20090327,1.76
20090330,1.76
20090331,1.73
20090401,1.72
20090402,1.65
20090403,1.66
20090406,1.65
20090407,1.57
20090408,1.58
20090409,1.86
20090410,1.82
20090413,1.8
20090414,1.79
20090415,1.76
20090416,1.83
20090417,1.83
20090420,1.86
20090421,1.57
20090422,1.57
20090423,1.89
20090424,1.84
20090427,1.87
20090428,1.85
20090429,1.84
20090430,1.85
20090504,1.77
20090506,1.72
20090507,1.83
20090508,1.92
20090511,1.93
20090512,1.93
20090513,1.93
20090514,1.93
20090515,1.93
20090518,1.89
20090519,1.74
20090520,1.73
20090521,1.96
20090522,1.97
20090525,1.97
20090526,1.97
20090527,1.96
20090528,1.97
20090529,1.96
20090601,1.95
20090602,1.93
20090603,1.92
20090604,1.93
20090605,1.93
20090608,1.93
20090609,1.96
20090610,1.93
20090611,1.96
20090612,1.94
20090615,1.93
20090616,1.94
20090617,1.95
20090618,1.95
20090619,1.94
20090622,1.93
20090623,1.82
20090624,1.87
20090625,1.93
20090626,1.92
20090629,1.92
20090630,1.96
20090701,1.9
20090702,1.92
20090703,1.92
20090706,1.93
20090707,1.92
20090708,1.92
20090709,1.93
20090710,1.94
20090713,1.94
20090714,1.95
20090715,1.95
20090716,1.95
20090717,1.94
20090720,1.94
20090721,1.93
20090722,1.93
20090723,1.93
20090724,1.93
20090727,1.93
20090728,1.93
20090729,1.93
20090730,1.93
20090731,1.95
20090803,1.94
20090804,1.97
20090805,1.97
20090806,1.98
20090807,1.99
20090810,1.99
20090811,1.99
20090812,1.98
20090813,1.98
20090814,1.97
20090817,1.98
20090818,1.97
20090819,1.97
20090820,1.99
20090821,1.98
20090824,1.98
20090825,1.98
20090826,1.98
20090827,1.97
20090828,1.97
20090831,1.99
20090901,1.98
20090902,1.98
20090903,1.97
20090904,1.97
20090907,1.97
20090908,1.91
20090909,1.98
20090910,1.99
20090911,1.99
20090914,2.0
20090915,1.99
20090916,1.99
20090917,2.0
20090918,2.0
20090921,1.97
20090922,1.8
20090923,1.79
20090924,2.0
20090925,2.0
20090928,2.0
20090929,2.01
20090930,2.0
20091001,2.0
20091005,1.99
20091006,2.0
20091007,1.99
20091008,1.99
20091009,1.99
20091012,1.99
20091013,1.99
20091014,1.99
20091015,1.99
20091016,1.98
20091019,1.98
20091020,1.99
20091021,2.02
20091022,2.0
20091023,2.0
20091026,2.0
20091027,2.0
20091028,2.0
20091029,2.01
20091030,2.01
20091102,2.0
20091103,1.99
20091104,1.99
20091105,2.0
20091106,2.0
20091109,2.0
20091110,2.07
20091111,1.98
20091112,2.01
20091113,2.0
20091116,2.01
20091117,1.99
20091118,1.96
20091119,1.95
20091120,2.01
20091123,2.03
20091124,2.0
20091125,1.99
20091126,2.01
20091127,2.0
20091130,2.01
20091201,2.0
20091202,2.0
20091203,2.0
20091204,2.0
20091207,1.99
20091208,1.97
20091209,1.99
20091210,2.01
20091211,2.0
20091214,2.0
20091215,2.0
20091216,2.0
20091217,2.0
20091218,2.0
20091221,2.0
20091222,1.99
20091223,1.98
20091224,2.0
20091228,2.0
20091229,2.0
20091230,2.0
20091231,2.01
20100104,1.98
20100105,1.98
20100106,1.96
20100107,1.99
20100108,2.0
20100111,2.0
20100112,2.0
20100113,2.0
20100114,2.0
20100115,2.0
20100118,1.99
20100119,1.99
20100120,1.97
20100121,2.01
20100122,2.0
20100125,2.01
20100126,2.01
20100127,2.0
20100128,2.0
20100129,2.0
20100201,2.01
20100202,2.0
20100203,2.0
20100204,2.0
20100205,2.0
20100208,2.0
20100209,1.99
20100210,1.97
20100211,2.02
20100212,2.01
20100216,2.01
20100217,2.01
20100218,2.01
20100219,2.01
20100222,1.98
20100223,1.92
20100224,1.9
20100225,2.02
20100226,2.01
20100302,2.01
20100303,2.01
20100304,2.02
20100305,2.01
20100308,2.01
20100309,2.02
20100310,1.99
20100311,2.02
20100312,2.01
20100315,2.01
20100316,2.0
20100317,2.0
20100318,2.01
20100319,2.01
20100322,2.0
20100323,2.0
20100324,1.98
20100325,2.01
20100326,2.0
20100329,1.99
