date,market_rate,base_rate,base_future,market_future
20080102,4.96,5.0,5.0,5.0
20080103,4.98,5.0,5.0,5.0
20080104,4.98,5.0,5.0,4.98
20080107,4.95,5.0,5.0,4.95
20080108,4.98,5.0,5.0,4.95
20080109,4.99,5.0,5.0,5.02
20080110,5.01,5.0,5.0,5.01
20080111,5.0,5.0,5.0,4.98
20080114,5.01,5.0,5.0,4.95
20080115,5.01,5.0,5.0,4.94
20080116,5.02,5.0,5.0,4.96
20080117,5.02,5.0,5.0,4.94
20080118,4.97,5.0,5.0,4.94
20080121,4.93,5.0,5.0,4.95
20080122,4.91,5.0,5.0,4.94
20080123,5.01,5.0,5.0,5.0
20080124,5.01,5.0,5.0,5.0
20080125,5.01,5.0,5.0,4.99
20080128,5.01,5.0,5.0,4.99
20080129,5.0,5.0,5.0,4.98
20080130,4.98,5.0,5.0,4.98
20080131,4.96,5.0,5.0,4.98
20080201,4.91,5.0,5.0,4.96
20080204,4.96,5.0,5.0,4.99
20080205,4.93,5.0,5.0,4.94
20080211,5.0,5.0,5.0,4.98
20080212,5.0,5.0,5.0,4.98
20080213,5.0,5.0,5.0,4.97
20080214,5.0,5.0,5.0,4.97
20080215,5.0,5.0,5.0,4.94
20080218,4.98,5.0,5.0,4.94
20080219,4.95,5.0,5.0,4.96
20080220,4.95,5.0,5.0,4.98
20080221,5.02,5.0,5.0,4.97
20080222,5.01,5.0,5.0,5.0
20080225,4.98,5.0,5.0,5.01
20080226,4.95,5.0,5.0,5.1
20080227,4.94,5.0,5.0,5.04
20080228,4.96,5.0,5.0,5.03
20080229,4.94,5.0,5.0,4.98
20080303,4.94,5.0,5.0,5.0
20080304,4.95,5.0,5.0,5.0
20080305,4.94,5.0,5.0,5.0
20080306,5.0,5.0,5.0,5.0
20080307,5.0,5.0,5.0,5.0
20080310,4.99,5.0,5.0,5.0
20080311,4.99,5.0,5.0,4.97
20080312,4.98,5.0,5.0,4.98
20080313,4.98,5.0,5.0,4.98
20080314,4.98,5.0,5.0,5.0
20080317,4.96,5.0,5.0,4.96
20080318,4.99,5.0,5.0,4.89
20080319,4.94,5.0,5.0,4.94
20080320,4.98,5.0,5.0,4.95
20080321,4.98,5.0,5.0,4.96
20080324,4.97,5.0,5.0,5.19
20080325,4.97,5.0,5.0,5.18
20080326,4.94,5.0,5.0,5.01
20080327,4.94,5.0,5.0,5.0
20080328,4.96,5.0,5.0,4.93
20080331,4.98,5.0,5.0,4.87
20080401,4.97,5.0,5.0,4.9
20080402,5.0,5.0,5.0,4.95
20080403,5.01,5.0,5.0,4.93
20080404,5.1,5.0,5.0,4.63
20080407,5.04,5.0,5.0,4.62
20080408,5.03,5.0,5.0,5.0
20080410,4.98,5.0,5.0,5.0
20080411,5.0,5.0,5.0,5.0
20080414,5.0,5.0,5.0,5.01
20080415,5.0,5.0,5.0,5.03
20080416,5.0,5.0,5.0,5.03
20080417,5.0,5.0,5.0,5.04
20080418,5.0,5.0,5.0,5.0
20080421,4.97,5.0,5.0,5.0
20080422,4.98,5.0,5.0,5.0
20080423,4.98,5.0,5.0,5.0
20080424,5.0,5.0,5.0,4.81
20080425,4.96,5.0,5.0,4.57
20080428,4.89,5.0,5.0,4.57
20080429,4.94,5.0,5.0,4.99
20080430,4.95,5.0,5.0,4.99
20080502,4.96,5.0,5.0,5.01
20080506,5.19,5.0,5.0,5.0
20080507,5.18,5.0,5.0,5.0
20080508,5.01,5.0,5.0,5.0
20080509,5.0,5.0,5.0,5.01
20080513,4.93,5.0,5.0,4.62
20080514,4.87,5.0,5.0,4.55
20080515,4.9,5.0,5.0,4.55
20080516,4.95,5.0,5.0,5.01
20080519,4.93,5.0,5.0,4.99
20080520,4.63,5.0,5.0,5.01
20080521,4.62,5.0,5.0,4.99
20080522,5.0,5.0,5.0,4.99
20080523,5.0,5.0,5.0,4.99
20080526,5.0,5.0,5.0,5.03
20080527,5.01,5.0,5.0,5.01
20080528,5.03,5.0,5.0,5.01
20080529,5.03,5.0,5.0,5.02
20080530,5.04,5.0,5.0,5.01
20080602,5.0,5.0,5.0,5.01
20080603,5.0,5.0,5.0,5.0
20080604,5.0,5.0,5.0,5.01
20080605,5.0,5.0,5.0,5.0
20080609,4.81,5.0,5.0,5.01
20080610,4.57,5.0,5.0,5.01
20080611,4.57,5.0,5.0,4.58
20080612,4.99,5.0,5.0,4.57
20080613,4.99,5.0,5.0,4.59
20080616,5.01,5.0,5.0,5.0
20080617,5.0,5.0,5.0,5.0
20080618,5.0,5.0,5.0,5.01
20080619,5.0,5.0,5.0,5.0
20080620,5.01,5.0,5.0,5.0
20080623,4.62,5.0,5.0,5.03
